"
time",,values
11:24:44,41084.76,91
11:24:44,41084.77,62
11:24:44,41084.78,33
11:24:44,41084.79,25
11:24:44,41084.80,69
11:24:44,41084.81,174
11:24:44,41084.83,429
11:24:44,41084.84,686
11:24:44,41084.85,783
11:24:44,41084.86,573
11:24:44,41084.86,181
11:24:44,41084.88,-100
11:24:44,41084.88,-239
11:24:44,41084.89,-241
11:24:44,41084.90,-273
11:24:44,41084.91,-304
11:24:44,41084.93,-307
11:24:44,41084.93,-251
11:24:44,41084.95,-182
11:24:44,41084.95,-105
11:24:44,41084.96,-58
11:24:44,41084.97,-63
11:24:44,41084.98,-89
11:24:44,41084.99,-145
11:24:45,41085.00,-174
11:24:45,41085.02,-196
11:24:45,41085.02,-188
11:24:45,41085.04,-161
11:24:45,41085.04,-129
11:24:45,41085.05,-101
11:24:45,41085.06,-87
11:24:45,41085.07,-83
11:24:45,41085.09,-57
11:24:45,41085.09,10
11:24:45,41085.11,80
11:24:45,41085.11,120
11:24:45,41085.12,111
11:24:45,41085.13,49
11:24:45,41085.14,-51
11:24:45,41085.15,-138
11:24:45,41085.16,-168
11:24:45,41085.17,-138
11:24:45,41085.18,-75
11:24:45,41085.19,-15
11:24:45,41085.20,28
11:24:45,41085.21,33
11:24:45,41085.22,29
11:24:45,41085.23,66
11:24:45,41085.24,123
11:24:45,41085.25,182
11:24:45,41085.26,188
11:24:45,41085.27,135
11:24:45,41085.28,50
11:24:45,41085.29,-27
11:24:45,41085.30,-66
11:24:45,41085.31,-58
11:24:45,41085.32,-32
11:24:45,41085.33,20
11:24:45,41085.34,34
11:24:45,41085.36,25
11:24:45,41085.37,-10
11:24:45,41085.38,-23
11:24:45,41085.39,-13
11:24:45,41085.40,4
11:24:45,41085.41,32
11:24:45,41085.42,27
11:24:45,41085.43,-17
11:24:45,41085.44,-70
11:24:45,41085.45,-95
11:24:45,41085.46,-50
11:24:45,41085.47,38
11:24:45,41085.48,126
11:24:45,41085.49,201
11:24:45,41085.50,212
11:24:45,41085.51,201
11:24:45,41085.52,153
11:24:45,41085.53,114
11:24:45,41085.54,96
11:24:45,41085.55,80
11:24:45,41085.56,146
11:24:45,41085.57,323
11:24:45,41085.58,526
11:24:45,41085.59,633
11:24:45,41085.60,419
11:24:45,41085.61,149
11:24:45,41085.62,-79
11:24:45,41085.63,-108
11:24:45,41085.64,-127
11:24:45,41085.65,-204
11:24:45,41085.66,-284
11:24:45,41085.67,-322
11:24:45,41085.68,-303
11:24:45,41085.69,-244
11:24:45,41085.70,-213
11:24:45,41085.71,-214
11:24:45,41085.72,-242
11:24:45,41085.73,-263
11:24:45,41085.74,-251
11:24:45,41085.75,-220
11:24:45,41085.76,-152
11:24:45,41085.77,-68
11:24:45,41085.78,-1
11:24:45,41085.79,8
11:24:45,41085.80,-42
11:24:45,41085.81,-78
11:24:45,41085.82,-68
11:24:45,41085.83,-31
11:24:45,41085.84,-5
11:24:45,41085.85,-5
11:24:45,41085.86,-20
11:24:45,41085.87,-54
11:24:45,41085.88,-78
11:24:45,41085.89,-71
11:24:45,41085.90,-34
11:24:45,41085.91,33
11:24:45,41085.92,79
11:24:45,41085.93,82
11:24:45,41085.93,41
11:24:45,41085.95,-3
11:24:45,41085.95,-20
11:24:45,41085.96,-9
11:24:45,41085.97,38
11:24:45,41085.98,87
11:24:45,41085.99,108
11:24:46,41086.00,93
11:24:46,41086.01,82
11:24:46,41086.02,94
11:24:46,41086.03,121
11:24:46,41086.04,159
11:24:46,41086.05,190
11:24:46,41086.06,182
11:24:46,41086.07,88
11:24:46,41086.08,-28
11:24:46,41086.09,-113
11:24:46,41086.11,-118
11:24:46,41086.12,-102
11:24:46,41086.12,-81
11:24:46,41086.13,-46
11:24:46,41086.14,-29
11:24:46,41086.15,-21
11:24:46,41086.17,-26
11:24:46,41086.17,1
11:24:46,41086.18,72
11:24:46,41086.19,123
11:24:46,41086.20,155
11:24:46,41086.21,132
11:24:46,41086.22,80
11:24:46,41086.24,17
11:24:46,41086.25,-34
11:24:46,41086.25,-31
11:24:46,41086.26,19
11:24:46,41086.27,129
11:24:46,41086.28,284
11:24:46,41086.29,492
11:24:46,41086.30,706
11:24:46,41086.31,623
11:24:46,41086.33,368
11:24:46,41086.33,56
11:24:46,41086.35,-62
11:24:46,41086.36,-160
11:24:46,41086.37,-291
11:24:46,41086.38,-378
11:24:46,41086.39,-406
11:24:46,41086.40,-402
11:24:46,41086.41,-367
11:24:46,41086.42,-287
11:24:46,41086.43,-208
11:24:46,41086.44,-167
11:24:46,41086.45,-173
11:24:46,41086.46,-182
11:24:46,41086.46,-179
11:24:46,41086.48,-155
11:24:46,41086.48,-113
11:24:46,41086.50,-86
11:24:46,41086.51,-91
11:24:46,41086.52,-119
11:24:46,41086.53,-134
11:24:46,41086.54,-95
11:24:46,41086.55,-4
11:24:46,41086.55,90
11:24:46,41086.57,142
11:24:46,41086.57,146
11:24:46,41086.59,124
11:24:46,41086.60,63
11:24:46,41086.61,-6
11:24:46,41086.62,-55
11:24:46,41086.63,-65
11:24:46,41086.64,-66
11:24:46,41086.64,-81
11:24:46,41086.66,-101
11:24:46,41086.66,-132
11:24:46,41086.68,-142
11:24:46,41086.69,-107
11:24:46,41086.70,3
11:24:46,41086.71,125
11:24:46,41086.71,198
11:24:46,41086.73,177
11:24:46,41086.73,131
11:24:46,41086.75,89
11:24:46,41086.76,74
11:24:46,41086.77,70
11:24:46,41086.78,70
11:24:46,41086.79,67
11:24:46,41086.80,21
11:24:46,41086.80,-20
11:24:46,41086.82,-63
11:24:46,41086.82,-69
11:24:46,41086.84,-42
11:24:46,41086.85,15
11:24:46,41086.86,75
11:24:46,41086.87,65
11:24:46,41086.88,-3
11:24:46,41086.89,-72
11:24:46,41086.89,-97
11:24:46,41086.91,-69
11:24:46,41086.91,-35
11:24:46,41086.93,-4
11:24:46,41086.94,4
11:24:46,41086.95,-2
11:24:46,41086.96,1
11:24:46,41086.97,18
11:24:46,41086.98,90
11:24:46,41086.99,167
11:24:46,41087.00,208
11:24:47,41087.01,196
11:24:47,41087.02,176
11:24:47,41087.03,315
11:24:47,41087.04,567
11:24:47,41087.05,661
11:24:47,41087.06,461
11:24:47,41087.07,139
11:24:47,41087.08,-51
11:24:47,41087.09,-141
11:24:47,41087.10,-233
11:24:47,41087.11,-293
11:24:47,41087.12,-289
11:24:47,41087.13,-253
11:24:47,41087.14,-199
11:24:47,41087.15,-167
11:24:47,41087.16,-176
11:24:47,41087.17,-237
11:24:47,41087.18,-284
11:24:47,41087.19,-293
11:24:47,41087.20,-272
11:24:47,41087.21,-220
11:24:47,41087.22,-151
11:24:47,41087.23,-88
11:24:47,41087.24,-58
11:24:47,41087.25,-55
11:24:47,41087.26,-18
11:24:47,41087.27,67
11:24:47,41087.28,152
11:24:47,41087.29,200
11:24:47,41087.30,189
11:24:47,41087.31,123
11:24:47,41087.32,21
11:24:47,41087.33,-72
11:24:47,41087.34,-104
11:24:47,41087.35,-79
11:24:47,41087.36,-33
11:24:47,41087.37,4
11:24:47,41087.38,13
11:24:47,41087.39,-4
11:24:47,41087.40,-23
11:24:47,41087.41,-10
11:24:47,41087.42,40
11:24:47,41087.43,91
11:24:47,41087.44,115
11:24:47,41087.45,76
11:24:47,41087.46,31
11:24:47,41087.47,-24
11:24:47,41087.48,-39
11:24:47,41087.49,3
11:24:47,41087.50,85
11:24:47,41087.51,166
11:24:47,41087.52,187
11:24:47,41087.53,156
11:24:47,41087.54,105
11:24:47,41087.55,54
11:24:47,41087.56,43
11:24:47,41087.57,50
11:24:47,41087.58,53
11:24:47,41087.59,3
11:24:47,41087.60,-81
11:24:47,41087.61,-150
11:24:47,41087.62,-170
11:24:47,41087.63,-138
11:24:47,41087.64,-76
11:24:47,41087.65,-9
