time,,values
11:18:44,40724.50,-123
11:18:44,40724.51,-101
11:18:44,40724.52,-90
11:18:44,40724.53,-71
11:18:44,40724.54,-54
11:18:44,40724.55,-26
11:18:44,40724.56,21
11:18:44,40724.57,51
11:18:44,40724.58,76
11:18:44,40724.59,74
11:18:44,40724.60,74
11:18:44,40724.61,79
11:18:44,40724.62,63
11:18:44,40724.63,24
11:18:44,40724.64,-53
11:18:44,40724.65,-127
11:18:44,40724.66,-169
11:18:44,40724.67,-171
11:18:44,40724.68,-149
11:18:44,40724.69,-142
11:18:44,40724.70,-142
11:18:44,40724.71,-130
11:18:44,40724.72,-120
11:18:44,40724.73,-117
11:18:44,40724.74,-128
11:18:44,40724.75,-125
11:18:44,40724.76,-104
11:18:44,40724.77,-95
11:18:44,40724.78,-85
11:18:44,40724.79,-85
11:18:44,40724.80,-78
11:18:44,40724.81,-67
11:18:44,40724.82,-69
11:18:44,40724.83,-62
11:18:44,40724.84,-48
11:18:44,40724.85,-29
11:18:44,40724.86,-12
11:18:44,40724.87,-26
11:18:44,40724.88,-32
11:18:44,40724.89,-38
11:18:44,40724.90,-20
11:18:44,40724.91,15
11:18:44,40724.92,55
11:18:44,40724.93,95
11:18:44,40724.94,108
11:18:44,40724.95,107
11:18:44,40724.96,101
11:18:44,40724.97,83
11:18:44,40724.98,60
11:18:44,40724.99,22
11:18:45,40725.00,-11
11:18:45,40725.01,-28
11:18:45,40725.02,-49
11:18:45,40725.03,-57
11:18:45,40725.04,-72
11:18:45,40725.05,-87
11:18:45,40725.06,-95
11:18:45,40725.07,97
11:18:45,40725.08,518
11:18:45,40725.09,933
11:18:45,40725.10,1081
11:18:45,40725.11,920
11:18:45,40725.12,694
11:18:45,40725.13,365
11:18:45,40725.14,12
11:18:45,40725.15,-293
11:18:45,40725.16,-393
11:18:45,40725.17,-359
11:18:45,40725.18,-298
11:18:45,40725.19,-269
11:18:45,40725.20,-247
11:18:45,40725.21,-226
11:18:45,40725.22,-215
11:18:45,40725.23,-192
11:18:45,40725.24,-172
11:18:45,40725.25,-141
11:18:45,40725.26,-113
11:18:45,40725.27,-96
11:18:45,40725.28,-72
11:18:45,40725.29,-43
11:18:45,40725.30,-11
11:18:45,40725.31,31
11:18:45,40725.32,61
11:18:45,40725.33,98
11:18:45,40725.34,105
11:18:45,40725.35,97
11:18:45,40725.36,72
11:18:45,40725.37,7
11:18:45,40725.38,-63
11:18:45,40725.39,-121
11:18:45,40725.40,-140
11:18:45,40725.41,-135
11:18:45,40725.42,-132
11:18:45,40725.43,-128
11:18:45,40725.44,-132
11:18:45,40725.45,-130
11:18:45,40725.46,-111
11:18:45,40725.47,-96
11:18:45,40725.48,-79
11:18:45,40725.49,-84
11:18:45,40725.50,-93
11:18:45,40725.52,-92
